Gender,Height (cm),Weight (Kg),Age (Year),"Index : 0 - Extremely Weak, 1 - Weak, 2 - Normal, 3 - Overweight, 4 - Obesity, 5 - Extreme Obesity",Calories Burned (kcal),Carbohydrate (g),Fiber (g),Protein (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (mcg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg)
Male,174,96,12,4,2602,130,26,77,2000,45,200,11,60,1300,8,240,1250
Male,174,96,13,4,2593,130,26,77,2000,45,200,11,60,1300,8,240,1250
Male,174,96,14,4,2585,130,38,77,3000,75,200,15,75,1300,11,410,1250
Male,174,96,15,4,2577,130,38,77,3000,75,200,15,75,1300,11,410,1250
Male,174,96,16,4,2569,130,38,77,3000,75,200,15,75,1300,11,410,1250
Male,174,96,17,4,2561,130,38,77,3000,75,200,15,75,1300,11,410,1250
Male,174,96,18,4,2553,130,38,77,3000,75,200,15,75,1300,11,410,1250
Male,174,96,19,4,2545,130,38,77,3000,90,200,15,120,1000,8,400,700
Male,174,96,20,4,2537,130,38,77,3000,90,200,15,120,1000,8,400,700
Male,174,96,21,4,2529,130,38,77,3000,90,200,15,120,1000,8,400,700
Male,174,96,22,4,2520,130,38,77,3000,90,200,15,120,1000,8,400,700
Male,174,96,23,4,2512,130,38,77,3000,90,200,15,120,1000,8,400,700
Male,174,96,24,4,2504,130,38,77,3000,90,200,15,120,1000,8,400,700
Male,174,96,25,4,2496,130,38,77,3000,90,200,15,120,1000,8,400,700
Male,174,96,26,4,2488,130,38,77,3000,90,200,15,120,1000,8,400,700
Male,174,96,27,4,2480,130,38,77,3000,90,200,15,120,1000,8,400,700
Male,174,96,28,4,2472,130,38,77,3000,90,200,15,120,1000,8,400,700
Male,174,96,29,4,2464,130,38,77,3000,90,200,15,120,1000,8,400,700
Male,174,96,30,4,2456,130,38,77,3000,90,200,15,120,1000,8,400,700
Male,174,96,31,4,2447,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,32,4,2439,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,33,4,2431,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,34,4,2423,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,35,4,2415,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,36,4,2407,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,37,4,2399,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,38,4,2391,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,39,4,2383,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,40,4,2374,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,41,4,2366,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,42,4,2358,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,43,4,2350,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,44,4,2342,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,45,4,2334,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,46,4,2326,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,47,4,2318,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,48,4,2310,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,49,4,2301,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,50,4,2293,130,38,77,3000,90,200,15,120,1000,8,420,700
Male,174,96,51,4,2285,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,52,4,2277,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,53,4,2269,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,54,4,2261,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,55,4,2253,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,56,4,2245,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,57,4,2237,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,58,4,2228,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,59,4,2220,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,60,4,2212,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,61,4,2204,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,62,4,2196,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,63,4,2188,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,64,4,2180,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,65,4,2172,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,66,4,2164,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,67,4,2155,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,68,4,2147,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,69,4,2139,130,30,77,3000,90,400,15,120,1200,8,420,700
Male,174,96,70,4,2131,130,30,77,3000,90,600,15,120,1200,8,420,700
Female,174,96,12,4,2210,130,31,77,2000,45,200,11,60,1300,8,240,1250
Female,174,96,13,4,2204,130,31,77,2000,45,200,11,60,1300,8,240,1250
Female,174,96,14,4,2199,130,26,77,2333,65,200,15,75,1300,15,360,1250
Female,174,96,15,4,2193,130,26,77,2333,65,200,15,75,1300,15,360,1250
Female,174,96,16,4,2188,130,26,77,2333,65,200,15,75,1300,15,360,1250
